Value,SearchText
utility:package_org_beta,
utility:package_org,
utility:package,
utility:page_structure,
utility:page,
utility:palette,
utility:password,
utility:paste,
utility:path_experiment,
utility:pause_alt,
utility:pause,
utility:payment_deferred,
utility:payment_gateway,
utility:pdf_ext,
utility:people,
utility:percent,
utility:phone_landscape,
utility:phone_portrait,
utility:photo,
utility:picklist_choice,
utility:picklist_type,
utility:picklist,
utility:pin,
utility:pinned,
utility:plane,
utility:planning_poker,
utility:play,
utility:podcast_webinar,
utility:pop_in,
utility:power,
utility:preview,
utility:price_book_entries,
utility:price_books,
utility:pricing_workspace,
utility:print,
utility:priority,
utility:privately_shared,
utility:problem,
utility:process,
utility:product_consumed_state,
utility:product_quantity_rules,
utility:product_service_campaign_item,
utility:product_service_campaign,
utility:product_transfer_state,
utility:product_transfer,
utility:product_warranty_term,
utility:product_workspace,
utility:product,
utility:products,
utility:profile_alt,
utility:profile,
utility:program_cohort_member,
utility:program_cohort,
utility:promotion_segments,
utility:promotion_tiers,
utility:promotions_workspace,
utility:promotions,
utility:prompt_builder,
utility:prompt_edit,
utility:prompt,
utility:propagation_policy,
utility:proposition,
utility:push,
utility:puzzle,
utility:qualifications,
utility:question_mark,
utility:question,
utility:questions_and_answers,
utility:queue,
utility:quick_text,
utility:quip,
utility:quotation_marks,
utility:quote,
utility:radio_button,
utility:rating,
utility:real_time,
utility:reassign,
utility:recipe,
utility:record_alt,
utility:record_collection,
utility:record_consent,
utility:record_create,
utility:record_delete,
utility:record_lookup,
utility:record_update,
utility:record,
utility:recurring_exception,
utility:recycle_bin_empty,
utility:recycle_bin_full,
utility:redo,
utility:refresh,
utility:relate,
utility:reminder,
utility:remove_formatting,
utility:remove_link,
utility:replace,
utility:replay,
utility:reply_all,
utility:reply,
utility:report_issue,
utility:reset_password,
utility:resource_absence,
utility:resource_capacity,
utility:resource_territory,
utility:restriction_policy,
utility:retail_execution,
utility:retweet,
utility:ribbon,
utility:richtextbulletedlist,
utility:richtextindent,
utility:richtextnumberedlist,
utility:richtextoutdent,
utility:right_align_text,
utility:right_align,
utility:right_join,
utility:right,
utility:robot,
utility:rotate,
utility:routing_offline,
utility:rows,
utility:rules,
utility:salesforce_page,
utility:salesforce1,
utility:save,
utility:scan,
utility:screen,
utility:search,
utility:section,
utility:segments,
utility:send_log,
utility:send,
utility:sender_email,
utility:sentiment_negative,
utility:sentiment_neutral,
utility:serialized_product_transaction,
utility:serialized_product,
utility:service_appointment,
utility:service_contract,
utility:service_report,
utility:service_territory_policy,
utility:settings,
utility:setup_assistant_guide,
utility:setup_modal,
utility:setup,
utility:share_file,
utility:share_mobile,
utility:share_post,
utility:share,
utility:shield,
utility:shift_pattern_entry,
utility:shift_pattern,
utility:shift_scheduling_operation,
utility:shift_ui,
utility:shopping_bag,
utility:shortcuts,
utility:side_list,
utility:signature,
utility:signpost,
utility:skill,
utility:skip_back,
utility:skip_forward,
utility:skip,
utility:slack_conversations,
utility:slack,
utility:slider,
utility:smiley_and_people,
utility:sms,
utility:snippet,
utility:sobject_collection,
utility:sobject,
utility:socialshare,
utility:sort_ascending,
utility:sort_policy,
utility:sort,
utility:spacer,
utility:sparkle,
utility:sparkles,
utility:spinner,
utility:stage_collection,
utility:stage,
utility:standard_objects,
utility:steps,
utility:stop,
utility:store,
utility:strategy,
utility:strikethrough,
utility:success,
utility:summary,
utility:summarydetail,
utility:survey,
utility:swarm_request,
utility:swarm_session,
utility:switch,
utility:symbols,
utility:sync_in_progress,
utility:sync,
utility:system_and_global_variable,
utility:table_settings,
utility:table,
utility:tableau,
utility:tablet_landscape,
utility:tablet_portrait,
utility:tabset,
utility:talent_development,
utility:target_mode,
utility:target,
utility:task,
utility:tax_policy,
utility:tax_rate,
utility:tax_treatment,
utility:text_background_color,
utility:text_color,
utility:text_template,
utility:text,
utility:textarea,
utility:textbox,
utility:threedots_vertical,
utility:threedots,
utility:thunder,
utility:tile_card_list,
utility:toggle_off,
utility:toggle_on,
utility:toggle_panel_bottom,
utility:toggle_panel_left,
utility:toggle_panel_right,
utility:toggle_panel_top,
utility:toggle,
utility:tollways,
utility:top_align,
utility:top_group_alignment,
utility:topic,
utility:topic2,
utility:touch_action,
utility:tour_check,
utility:tour,
utility:tracker,
utility:trail,
utility:trailblazer_ext,
utility:trailhead_alt,
utility:trailhead_ext,
utility:trailhead,
utility:transparent,
utility:transport_bicycle,
utility:transport_heavy_truck,
utility:transport_light_truck,
utility:transport_walking,
utility:travel_and_places,
utility:trending,
utility:truck,
utility:turn_off_notifications,
utility:type_tool,
utility:type,
utility:undelete,
utility:undeprecate,
utility:underline,
utility:undo,
utility:unlinked,
utility:unlock,
utility:unmuted,
utility:up,
utility:upload,
utility:user_role,
utility:user,
utility:variable,
utility:variation_attribute_setup,
utility:variation_products,
utility:video_off,
utility:video,
utility:visibility_rule_assigned,
utility:voicemail_drop,
utility:volume_high,
utility:volume_low,
utility:volume_off,
utility:waits,
utility:walkthroughs,
utility:warning,
utility:warranty_term,
utility:watchlist,
utility:water,
utility:weeklyview,
utility:wellness,
utility:width,
utility:wifi,
utility:work_forecast,
utility:work_order_type,
utility:work_queue,
utility:workforce_engagement,
utility:world,
utility:your_account,
utility:yubi_key,
utility:zoomin,
utility:zoomout,
doctype:ai,
doctype:attachment,
doctype:audio,
doctype:box_notes,
doctype:csv,
doctype:eps,
doctype:excel,
doctype:exe,
doctype:flash,
doctype:folder,
doctype:gdoc,
doctype:gdocs,
doctype:gform,
doctype:gpres,
doctype:gsheet,
doctype:html,
doctype:image,
