"Indicator_Bundle__c","Indicator_Item__c","Name","Order__c"
"Lead_Company_Info","Lead_Annual_Revenue","Lead Company Info-Lead Annual Revenue","3.0"
"Lead_Company_Info","Lead_Industry","Lead Company Info-Lead Industry","1.0"
"Lead_Company_Info","Lead_Location","Lead Company Info-Lead Location","3.0"
"Lead_Contact_Info","Lead_Email","Lead Contact Info-Lead Email","4.0"
"Lead_Contact_Info","Lead_Mobile","Lead Contact Info-Lead Mobile","3.0"
"Lead_Contact_Info","Lead_Phone","Lead Contact Info-Lead Phone","2.0"
"Lead_Contact_Info","Lead_Website","Lead Contact Info-Lead Website","5.0"
"Lead_Key_Details","Lead_Rating","Lead Key-Lead Rating","1.0"
"Lead_Key_Details","Lead_Source","Lead Key-Lead Source","2.0"
